               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.029318,            0.027528,           0.0030862,             0.94121,             0.91697,             0.95563,             0.65418,            0.027098,            0.022119,           0.0025774,           0.0057925,           0.0057925,           0.0057925
                  36,            0.029374,             0.02734,           0.0030733,             0.94353,             0.91384,              0.9552,             0.63932,            0.027946,            0.022815,            0.002574,           0.0056688,           0.0056688,           0.0056688
                  37,            0.029164,            0.026939,           0.0029587,             0.94804,              0.9068,             0.95349,              0.6383,            0.028015,            0.022706,           0.0025475,            0.005545,            0.005545,            0.005545
                  38,            0.028951,            0.027004,           0.0029083,             0.94456,              0.9145,             0.95507,             0.64366,            0.028029,            0.022439,           0.0026361,           0.0054212,           0.0054212,           0.0054212
                  39,            0.028687,            0.027124,           0.0029454,             0.94342,             0.91659,             0.95536,             0.64889,            0.027424,            0.022051,           0.0025757,           0.0052975,           0.0052975,           0.0052975
                  40,            0.028597,             0.02681,           0.0028861,             0.94718,              0.9095,             0.95462,             0.65117,            0.027466,            0.022251,           0.0025684,           0.0051737,           0.0051737,           0.0051737
                  41,            0.028505,            0.026828,           0.0028543,             0.94428,             0.91202,               0.957,             0.64955,            0.027574,            0.022191,           0.0025345,             0.00505,             0.00505,             0.00505
                  42,            0.028353,            0.026442,           0.0028843,             0.94084,             0.91932,             0.95643,             0.65109,            0.027468,            0.022296,           0.0025237,           0.0049263,           0.0049263,           0.0049263
                  43,            0.027966,            0.026915,           0.0027478,             0.93987,             0.92357,             0.95843,             0.66127,            0.026729,            0.021829,           0.0024043,           0.0048025,           0.0048025,           0.0048025
                  44,            0.028055,            0.026203,           0.0028148,             0.94622,             0.91483,              0.9593,             0.66466,            0.026566,            0.021862,           0.0024316,           0.0046788,           0.0046788,           0.0046788
                  45,            0.027685,            0.026266,           0.0027074,              0.9414,             0.91501,             0.95797,             0.66596,            0.026469,            0.021887,           0.0024132,            0.004555,            0.004555,            0.004555
                  46,            0.027798,            0.025901,           0.0026654,             0.94384,             0.91676,             0.95682,             0.66016,            0.026816,            0.022082,           0.0024271,           0.0044313,           0.0044313,           0.0044313
                  47,            0.027692,            0.026162,           0.0027116,             0.94079,             0.91814,             0.95805,             0.65831,            0.026998,            0.022063,           0.0023665,           0.0043075,           0.0043075,           0.0043075
                  48,            0.027631,            0.025785,           0.0027267,             0.93784,             0.91885,             0.95722,             0.66009,              0.0269,            0.021962,           0.0023956,           0.0041837,           0.0041837,           0.0041837
                  49,             0.02739,             0.02573,           0.0027598,             0.94173,             0.91713,             0.95618,             0.65573,            0.027328,            0.022048,           0.0024888,             0.00406,             0.00406,             0.00406
                  50,            0.027281,            0.026056,           0.0026031,             0.94661,             0.91464,             0.95758,             0.66135,            0.026759,            0.021946,            0.002372,           0.0039362,           0.0039362,           0.0039362
